customer_id,tenure,monthly_charges,total_charges,contract,payment_method,support_calls,is_senior,churn
10362,51,91.21,4729.24,Month-to-month,eCheck,1,0,0
10363,58,70.58,4059.19,Month-to-month,Bank Transfer,2,0,0
10364,23,82.4,1847.63,One year,eCheck,2,0,0
10365,19,43.67,833.88,One year,Bank Transfer,1,0,0
10366,6,68.2,382.86,One year,Credit Card,1,0,0
10367,40,108.28,4261.29,One year,eCheck,0,0,0
10368,56,111.43,6241.8,Two year,Mailed Check,0,0,0
10369,6,22.18,91.02,One year,Mailed Check,1,0,0
10370,6,45.44,244.48,Two year,Bank Transfer,3,0,0
10371,7,46.16,332.5,One year,Mailed Check,2,0,0
10372,32,52.74,1598.49,Month-to-month,Credit Card,2,0,0
10373,30,50.36,1469.82,Two year,Credit Card,3,0,0
10374,17,48.12,839.24,One year,eCheck,3,1,0
10375,43,67.33,2877.25,Two year,Mailed Check,3,0,0
10376,55,44.1,2359.1,One year,Mailed Check,0,0,0
10377,47,93.02,4332.59,Month-to-month,Mailed Check,2,1,1
10378,5,22.88,81.66,Two year,Credit Card,1,0,0
10379,47,116.29,5492.78,Month-to-month,Bank Transfer,2,0,0
10380,39,38.85,1458.2,Month-to-month,Bank Transfer,1,0,0
10381,14,109.44,1586.46,Month-to-month,Credit Card,1,0,0
10382,3,87.93,182.54,Month-to-month,Mailed Check,0,0,0
10383,13,108.4,1492.35,Month-to-month,eCheck,0,0,0
10384,55,63.49,3480.24,One year,Mailed Check,2,0,0
10385,25,52.39,1325.66,One year,Credit Card,1,0,0
10386,28,81.05,2304.39,Two year,Mailed Check,0,0,0
10387,56,39.55,2095.67,Month-to-month,Bank Transfer,0,0,0
10388,17,62.1,1129.81,Month-to-month,Credit Card,0,0,0
10389,47,74.17,3482.18,Two year,eCheck,0,0,0
10390,6,32.35,136.61,One year,eCheck,0,0,0
10391,41,100.14,4132.54,Month-to-month,eCheck,2,0,0
10392,30,65.84,1909.58,One year,Credit Card,0,0,0
10393,10,73.2,766.77,Month-to-month,Bank Transfer,1,0,0
10394,45,87.89,3970.62,Month-to-month,Mailed Check,0,0,0
10395,56,109.83,6257.21,Month-to-month,Credit Card,4,0,1
10396,40,33.74,1340.21,One year,Credit Card,0,0,0
10397,15,39.18,563.9,Month-to-month,Credit Card,0,0,0
10398,7,32.37,204.95,Month-to-month,Mailed Check,2,0,0
10399,3,116.29,308.81,Month-to-month,Mailed Check,0,1,1
10400,38,63.13,2424.38,One year,Credit Card,1,0,0
10401,23,91.82,2090.84,One year,Bank Transfer,3,0,0
10402,50,36.64,1811.37,Month-to-month,Credit Card,1,0,0
10403,47,112.8,5266.49,Month-to-month,Credit Card,2,0,1
10404,10,32.55,392.03,Month-to-month,eCheck,1,0,0
10405,36,87.53,3093.1,Month-to-month,Mailed Check,0,0,0
10406,16,22.66,362.14,Month-to-month,Bank Transfer,3,0,0
10407,21,106.43,2256.19,Month-to-month,eCheck,3,0,1
10408,33,58.83,1970.17,Month-to-month,eCheck,1,0,0
10409,36,82.8,2984.9,Month-to-month,Credit Card,1,0,1
10410,22,79.93,1709.56,Month-to-month,Credit Card,0,0,0
10411,7,40.26,344.89,One year,eCheck,0,0,0
10412,21,65.45,1345.51,Two year,Credit Card,1,0,0
10413,1,20.24,75.86,Month-to-month,eCheck,1,1,0
10414,21,98.33,2042.82,One year,Mailed Check,1,0,0
10415,34,65.53,2192.42,One year,Bank Transfer,2,0,0
10416,22,47.76,1052.98,Month-to-month,Mailed Check,1,0,0
10417,3,59.37,59.27,One year,Credit Card,3,0,0
10418,12,60.8,778.23,Month-to-month,Mailed Check,1,0,0
10419,48,35.95,1690.55,Two year,eCheck,1,0,0
10420,12,56.63,709.3,One year,Credit Card,1,0,0
10421,37,87.65,3237.06,Month-to-month,Mailed Check,0,0,0
10422,9,75.94,666.09,Month-to-month,Bank Transfer,1,0,0
10423,46,119.21,5437.83,Month-to-month,Credit Card,2,0,1
10424,44,94.87,4104.07,Month-to-month,Credit Card,0,1,1
10425,8,102.84,848.29,Month-to-month,eCheck,2,0,0
10426,54,34.71,1905.32,Two year,eCheck,1,0,0
10427,8,72.04,650.23,One year,eCheck,1,0,0
10428,22,44.44,965.84,One year,Bank Transfer,1,0,0
10429,20,43.89,866.74,Month-to-month,Bank Transfer,4,0,0
10430,40,52.92,2169.6,One year,Credit Card,0,0,0
10431,23,76.93,1773.8,Month-to-month,Bank Transfer,0,0,0
10432,46,61.46,2835.22,Month-to-month,Mailed Check,3,0,1
10433,51,59.82,3038.58,Month-to-month,Credit Card,1,0,0
10434,36,56.54,2066.34,Month-to-month,Bank Transfer,1,0,0
10435,18,118.64,2138.38,Two year,Mailed Check,1,0,0
10436,34,62.24,2100.56,Month-to-month,Bank Transfer,1,0,0
10437,9,111.85,1016.41,Month-to-month,Mailed Check,0,0,0
